cohorte,MOB,bgi_sum,monto_sum,pct_impago
2024-03-01,12,692935.9099999999,10101754.0933,6.859560266464914
2024-03-01,13,898847.9344,10101754.0933,8.897939170744237
2024-03-01,14,796236.6195,10101754.0933,7.8821619705443515
2024-03-01,15,796236.6195,10101754.0933,7.8821619705443515
2024-03-01,16,1021759.8795,10101754.0933,10.114677808061904
2024-03-01,17,909059.8795,10101754.0933,8.999029981366652
2024-03-01,18,909059.8795,10101754.0933,8.999029981366652
2024-03-01,19,1004649.3894999999,10101754.0933,9.945296432887183
2024-03-01,20,1191782.0695,10101754.0933,11.797773520248834
2024-04-01,1,0.0,11010323.0,0.0
2024-04-01,2,0.0,11010323.0,0.0
2024-04-01,3,0.0,11010323.0,0.0
2024-04-01,4,0.0,11010323.0,0.0
2024-04-01,5,0.0,11010323.0,0.0
2024-04-01,6,0.0,11010323.0,0.0
2024-04-01,7,0.0,11010323.0,0.0
2024-04-01,8,497366.61,11010323.0,4.5172753787513775
2024-04-01,9,674638.6599999999,11010323.0,6.1273285079829165
2024-04-01,10,674638.6599999999,11010323.0,6.1273285079829165
2024-04-01,11,674638.6599999999,11010323.0,6.1273285079829165
2024-04-01,12,665794.9099999999,11010323.0,6.047006159583146
2024-04-01,13,662695.27,11010323.0,6.018854033619178
2024-04-01,14,662695.27,11010323.0,6.018854033619178
2024-04-01,15,656675.6586,11010323.0,5.96418160121188
2024-04-01,16,654192.6891,11010323.0,5.941630314569337
2024-04-01,17,652913.59,11010323.0,5.930013043214082
2024-04-01,18,652526.9613,11010323.0,5.9265015322438765
2024-04-01,19,631715.9613,11010323.0,5.737488003757927
2024-05-01,1,0.0,15072724.0097,0.0
2024-05-01,2,0.0,15072724.0097,0.0
2024-05-01,3,0.0,15072724.0097,0.0
2024-05-01,4,0.0,15072724.0097,0.0
2024-05-01,5,0.0,15072724.0097,0.0
2024-05-01,6,0.0,15072724.0097,0.0
2024-05-01,7,0.0,15072724.0097,0.0
2024-05-01,8,127953.22,15072724.0097,0.8489057446925727
2024-05-01,9,127953.22,15072724.0097,0.8489057446925727
2024-05-01,10,281720.55,15072724.0097,1.8690752236868378
2024-05-01,11,280452.7418,15072724.0097,1.8606639491276797
2024-05-01,12,304030.34180000005,15072724.0097,2.017089555971053
2024-05-01,13,302291.36000000004,15072724.0097,2.005552279770143
2024-05-01,14,300720.05000000005,15072724.0097,1.9951274222660262
2024-05-01,15,411971.78,15072724.0097,2.733227117638968
2024-05-01,16,737167.15,15072724.0097,4.890736070836291
2024-05-01,17,851937.11,15072724.0097,5.6521774660754005
2024-05-01,18,834264.01,15072724.0097,5.534925269401286
2024-06-01,1,0.0,13505108.0636,0.0
2024-06-01,2,0.0,13505108.0636,0.0
2024-06-01,3,0.0,13505108.0636,0.0
2024-06-01,4,0.0,13505108.0636,0.0
2024-06-01,5,0.0,13505108.0636,0.0
2024-06-01,6,0.0,13505108.0636,0.0
2024-06-01,7,0.0,13505108.0636,0.0
2024-06-01,8,0.0,13505108.0636,0.0
2024-06-01,9,0.0,13505108.0636,0.0
2024-06-01,10,0.0,13505108.0636,0.0
2024-06-01,11,0.0,13505108.0636,0.0
2024-06-01,12,365361.19,13505108.0636,2.7053555460600083
2024-06-01,13,365361.19,13505108.0636,2.7053555460600083
2024-06-01,14,559145.68,13505108.0636,4.140253283178476
2024-06-01,15,604547.13,13505108.0636,4.476433118143065
2024-06-01,16,604547.13,13505108.0636,4.476433118143065
2024-06-01,17,604547.13,13505108.0636,4.476433118143065
2024-07-01,1,0.0,11352063.4879,0.0
2024-07-01,2,0.0,11352063.4879,0.0
2024-07-01,3,0.0,11352063.4879,0.0
2024-07-01,4,0.0,11352063.4879,0.0
2024-07-01,5,16508.79000000001,11352063.4879,0.14542545518351346
2024-07-01,6,16508.79000000001,11352063.4879,0.14542545518351346
2024-07-01,7,16508.79000000001,11352063.4879,0.14542545518351346
2024-07-01,8,16508.79000000001,11352063.4879,0.14542545518351346
2024-07-01,9,51998.24870000001,11352063.4879,0.4580510737578608
2024-07-01,10,51998.24870000001,11352063.4879,0.4580510737578608
2024-07-01,11,51998.24870000001,11352063.4879,0.4580510737578608
2024-07-01,12,51998.24870000001,11352063.4879,0.4580510737578608
2024-07-01,13,368819.0787,11352063.4879,3.2489166317041733
2024-07-01,14,368819.0787,11352063.4879,3.2489166317041733
2024-07-01,15,510555.8287,11352063.4879,4.497471576371944
2024-07-01,16,510555.8287,11352063.4879,4.497471576371944
2024-08-01,1,0.0,18126742.5805,0.0
2024-08-01,2,0.0,18126742.5805,0.0
2024-08-01,3,13096.4289,18126742.5805,0.07224921323751018
2024-08-01,4,280244.2689,18126742.5805,1.5460266380208612
2024-08-01,5,280244.2689,18126742.5805,1.5460266380208612
2024-08-01,6,280244.2689,18126742.5805,1.5460266380208612
2024-08-01,7,280244.2689,18126742.5805,1.5460266380208612
2024-08-01,8,280244.2689,18126742.5805,1.5460266380208612
2024-08-01,9,280244.2689,18126742.5805,1.5460266380208612
2024-08-01,10,280244.2689,18126742.5805,1.5460266380208612
